wishes, होगी,
encouraging बड़ी
lentil मसूर
lucerne लूसर्न
plans. बड़ी
resolved. समाधान
solutions समाधान
leveled स्तरीकृत
justice? इंसाफ
rebate 'माफी'
deputy उप-राज्यपाल
star. स्टार
Day, पैरेंट्स
street. गली-गली
Cocksess काकेशस
stagnancy ठहराया,
May प्राय:
usage कार्यकुशलता
Menon मेनन
child बच्चे
Litchi लीची
Unity उत्‍पन्न
stretched खिंच
Paresh परेश
Whereas, अमेरिका
Generally प्राय:
Rohan रोहन
34,425 34,425
1930, 1930
source स्‍त्रोत
assumes मानता
Centers) केन्द्र)
do. सुनिये
qualitative गुणात्मक
perturbed मत,
For उदाहरणार्थ
Ranjit रणजीत
elevated करनाल
etc.),fruits(banana, (केला,
solve समाधान
committees. गुणात्मक
advantage. व्यूह
Greece ग्रीस
Vinod विनोद
pieces टुकड़ों
what, पड़ेगी
oil, होता,
solved समाधान
hanging शव
British ब्रिटिश
relieving घटाने
brothers, भाइयो!
295-330 330
dollar/tonne. 330
essays निबन्ध
expensive. महंगी
drying. पातीं
earthquake. भूकंप
example उदाहरणार्थ
length, तक,
dry सूखे
Mughal-e-azam 'मुग़ले
singing गा
sitting बैठे
popularity. 'मुग़ले
programme. गा
Hey, अरे,
apasthaanik प्रारोहों
months महीनों
makers निर्माताओं
fourth चौथे
Oh, अरे,
food फ़ूड
mutual पारस्परिक
expensive महंगी
1509 1509'
says,Bachchan "बच्चन
inferences. सही-सही
months. महीनों
unemployed बेरोज़गार
quickly, शीघ्रतापूर्वक
Kashmiris. पहनावे
small छोटे
door, खोलो,
essays. निबन्ध
lentils मसूर
defeat. हार
Dry सूखे
Mutual पारस्परिक
Anand आनंद
kids बच्चे
(Agriculture (कृषि
happen, होता,
utilization सदुपयोग
15.7 15.7
Public-Private सार्वजनिक-निजी
fore मरे,
correlation. पारस्परिक
2800 2800
explosively विस्फोटक
Ashfaq अशफाक
times गुना
acre, एकड़
promising वादे
time गुना
debtor. ऋणी
producers. निर्माताओं
favorite निर्माताओं
1976 1976)
bearing निकलने
auditorium सभागार
2015 2015
potassium ग्रहण
worn. पहनना
expected उम्मीद
out निकलने
enjoying आनंद
cheapest स्‍त्रोत
could सकी
expectation उम्मीद
eyou हम।
along. हम।
entered चुका
smaller छोटे
expanded. वैसे-वैसे
Small छोटे
buds, शाखाएँ,
sulphate सल्फेट,
experiments. पुष्‍टि
sudion सूड़ियों
anand. आनंद
anand आनंद
Katiki कातिकी
distribution विपणन
participated निर्माताओं
visa वीज़ा
again. हार
ornament ज़ेवर
oranganicule आरेन्जानिक्यूल
marketing विपणन
Sindh सिंध
tumv.com तुमभी
stairs तुमभी
absorbs ग्रहण
absorption ग्रहण
successful, कामयाब
Kundra. कुंद्रा
likewise वैसे-वैसे
hermit. साधु
motto. घोष
rainfall. रेखा
organized सुव्यवस्थित
production- साधन-
exile वनवास'
galleries. गैलरीज़
absorbed ग्रहण
grows उगता
medium, सम्मानजनक
gae 'फंस
cover आवरण
intention प्राय:
job धंधा
utensils.. बर्तन…
similarity विभेद
Marketing विपणन
quantity. ग्रहण
Sanskrit. लवंग
Abba पेशकश
marketing. विपणन
earning धंधा
perfect संज्ञा
Japanese जापानी
lentils. मसूर
Have लगी?
Terminal सार्वजनिक-निजी
third तृतीय
line रेखा
household वैद्य
indebted ऋणी
workmanship. कार्यकुशलता
25.9 25.9
transplant लगायें।
handful तोलेभर
cover. आवरण
paddy. धान
anywhere, रहूँगा,
absorbing ग्रहण
absorb ग्रहण
excreta. तोलेभर
east मध्यपूर्व
capital. पूँजीवाला
dollars. अमरीकी
ignored अनदेखी
paddy धान
Mansingh, मानसिंह!
rice धान
investment. मुनाफा
half ढाई
Listen सुनिये
chemical रासायनिक
benefits. मुनाफा
cools वात
kunds कूँड़ों
manifold गुना
earth. मरेगा
author, पर्यटक
historian. पर्यटक
chilotria चिलोट्रिया
fold गुना
Paddy धान
nobody मरेगा
relief. तरपाल
punishment? पोज़िशन,
rubbish सुनाने।
die मरेगा
state शासन
adopted. बढे।
seek खोजने
Third तृतीय
conspiracy. साजिश
conspiracy साजिश
25-26 25-26
hosts. मेजबान
Sukhlal सुखलाल
cooking. पका
salinity लवणीकरण
doctors वैद्य
hotness तीखापन
2.5 ढाई
gives शासन
enjoyed पर्यटक
22.68 22.68
unerasable छाप
switch लाइट
hope उम्मीद
sir सर
light हल्की
Metum मेटुम
restricted रोल
length. ढाई
rate. दरों
hates नफ़रत
power. दृढ़
unemployment, बेरोजगारी,
examinations. परीक्षाओं
Surveying कराना
wagons वैगन
recommendation सिफारिश
While करते
while करते
meant यानि
do करते
put डालनी
double दोहरा
kavachkeet कवचकीट'
planted. लगाये
recommendations सिफारिश
non-food गैर-खाद्य
surveys शासन
more काफी
quite काफी
very काफी
subhan निवाले
mister, सुनिये
ago. जाते।
much काफी
contains काफी
them करते
lot काफी
tremendous काफी
Central मध्य-एशियाई
162 162
processing. संसाधित
realistic रियलिस्टिक
vanished. चुका
Gundumali गुन्डुमाली
concrete. गुन्डुमाली
recommended सिफारिश
412 412
NDRI Dairy
dry. फलत:
platforms जनआंदोलन
Christmas. क्रिसमस
Isha ईशा
( (1906-1964)
tradition संस्कृति
Meaning यानि
Sarseni सरसेनी
Asian मध्य-एशियाई
theaters जाते।
produce. चार-पांच
roles रोल
things बातें
beautiful. सुन्दर
hating नफ़रत
27-30 27-30
Bhavprakash भावप्रकाश
appears सींगों
wheat, गेहूं,
Little हल्की
start खिलने
Grains धान
flowering खिलने
33 33
boring पकाऊ
2-2.5 ढाई
culture संस्कृति
manifold. गुना
rates दरों
been. चुका
scope गुंजाइश
featured प्रदर्शित
Ball बॉल
amount तोड़ने
hypothesis परिकल्पना
cultivate करते
culture. संस्कृति
ball बॉल
prepares करते
presumed परिकल्पना
Harijans हरिजनों
veterinary परा-पशु
flying. उड़ना
opening खोलकर
plucking तोड़ने
considered समझा
tropic रेखा
rainy बरसात
K. बी०के०
141 197
shrunk सूखे-सिकुड़े
prominently (1906-1964)
supporting रोल
Himmatwala, हिम्मतवाला,
4.67 4.67
mite कुटकी
winnower 'विनोवर'
bewildered घबराई
cultivation(such अभ्यासों
its उसका
potentiality प्रस्थापित
situation हालात
Look देखो
kutaki. कुटकी
Slight हल्की
down. दिखने
slight हल्की
See देखो
appeared दिखने
higher दरों
smoke. संसाधित
pilgrimage. मक्का-मो-अस्तमा
Wishes आरज़ूएँ
lavendula ओफिसेनेलिव
considered बॉलीवुड
affected. स्वरुप
rain. बरसात
pinching चुटकी
monsoon. बरसात
Bhabhi, भाभी!
situation. हालात
Cambodia कंबोडिया
Sir सर
Uday उदय
Hopefully उम्मीद
assumed समझा
But परन्तु
but परन्तु
testing जांचने
test जांचने
understood समझा
truth, पूछिये
Bhabhi(Sister भाभी!
law), भाभी!
Madam, मैडम
Pather 'पाथेर
madam. मैडम
Madam मैडम
screened. 162
Possibly संभवत
silkworm. उसका
e ?
lower निचले
sir. सर
n ?
species जाति
enough. काफी
future-market. रीढ़
Raag राग
pulls खींचता
Bhabhi( भाभी!
pluck तोड़ने
driving विदेशी।
I मैंने
Variety- प्रजाति-
occurs. घनघोर
Dancer पोलेंड
discussed, है,वहां
shopkeepers दुकानदारों
shoppers दुकानदारों
vendors. दुकानदारों
prosodies. छन्द
jointly प्रभावित
contaminated. दूषित
juice शर्बत
pendency अनिर्णय
mythical पौराणिक
zones ज़ोन
His उसका
polluted दूषित
grasses घासों
person. तुम।
surfing सर्फिंग
timely बरसात
affected प्रभावित
affected. प्रभावित
Expectedly उम्मीद
3.88 3.88
raining. बरसात
newspapers. अखबारों
Phurki फुरकी
management प्रचालन
seed. जाति
phosphate फॉस्फेट
report रिपोर्ट
shop? लूटी?
eggs, अंडा,
Making पर्यावरण,
convener संयोजक
Greetings प्रणाम
Gavashakar? गावस्कर
promised वचन
sons हालात
16.84 16.84
World विश्वप्रसिद्ध
Karan, करण!
Four-five चार-पांच
caste जाति
understood. समझा
race जन
governance शासन
Isn't ?
pupa प्यूपा
heavily. काफी
main. समझा
trainers' ट्रेनर्स
Middle मध्यम
middle मध्यम
Situations हालात
maturing, दूर-दूर
rupees/quintal. दूर-दूर
resort बुढ़ापे
Uncle! मानेगा,
senility. बुढ़ापे
reports रिपोर्ट
affects प्रभावित
package पैकेज
know. तुम।
entertained मजा
gotten. दालें
Twinkle ट्विंकल
Khanna's ट्विंकल
grass. जिन्जर
ruthless क्रूर
captured लिया,
-RRB- दस्त
medium मध्यम
wilt वील्ट
fa ?
replaced ?
investigate तहकीकात
effected प्रभावित
further. दर्शा
aids रक्षण
production-equipment उत्पादन-साधनों
Kahani रोल
rough रफ
technician. तकनीशियन
pulses दलहनी
diarrhea दस्त
Ambuja अम्बुजा
70-85 70-85
Race-2. 'रेस
Congress काँग्रेस
an बंदा
think, लिया,
illusion भ्रांति
phosphate. फॉस्फेट
Taiwan तैवान
colleges. कालेजों
factors कारकों
Government. शासन
side-effects. दुष्प्रभावों
tomorrow's करोगी
match. करोगी
plantations. बागों
same वही
redness लाली
defence प्रति,
Index the
evergreen. एवर
man बंदा
khabardar छापता
factors. कारकों
power. सत्ता
orchard उपवन
chosen. चुने।
laureate विजेता
hatch फूटते
fabulous शानदार
simplicity सादगी
Jijajee, जीजाजी!
mashing दालें
Shahrukh's 'मन्नत'
Grown बरसात
advisory सलाहकार
medium-sized मध्यम
creative रचनात्मक
Astrogenic हल्दी,
provided बनाकर
Representatives जन
awake. करो,
cases कारकों
tannin tannin
harvester रीपर
hell. ज़ख
somebody? लिया,
Advisory सलाहकार
appropriate उचित
package. पैकेज
Fruits मनुष्य
1114 1,114
influenced प्रभावित
ranged. दूरगामी
poverty ग़रीबी
substandard तुम।
lust. लिप्सा
tuber टयूबर
scarce दुर्लभ
right उचित
silkworm रेशमकीट
Ramlal रामलाल
silicate प्रस्फुटिक
human मनुष्य
2.3 2.3%
Manch संयोजक
light. दृढ़
origin उद्गम
place उद्गम
Bulgaria, बुलगारिया,
reasonable उचित
proper उचित
person मनुष्य
Rudolf रुडोल्फ
Gobil गोबिल
Meghnath 'ब्रजांगना'
vadh 'ब्रजांगना'
lovers. प्रेमियों
correct. उचित
tribal आदिवासी
finds खोजता
put निकालने
fair उचित
sword शमशीर
Bollywood बॉलीवुड
door. खोल।
Yadav यादव
Bollywood. बॉलीवुड
mesmerizing. उकेरा
from निकालने
disease, घना
imported. घटाकर
pulse दलहनी
ratoon रेटून)
homework होमवर्क
lung फेफड़ों
prasphutik प्रस्फुटिक
vendor; वाला;
Famous 'ट्रेजडी
there पेड़-पौधे
quite बहुत
arrow तीर
very बहुत
much बहुत
Pulse दलहनी
pulses' दलहनी
central केन्द्रीय
rare दुर्लभ
National केन्द्रीय
Human मनुष्य
Central केन्द्रीय
adhere अनुपालन
bollywood बॉलीवुड
hearing अंदरूनी
removing रोपनी
sentence. सज़ा-ए-मौत।
? हूँ?
Many बहुत
Palmarosa पामरोजा
palmarosa. पामरोजा
This यही
petal पंखुड़ियुक्‍त
reasonable. उचित
2005 2005
houses लिए,किसानों
nutrition, पोषण,
From रोपनी
That यही
Man मनुष्य
stabilizing स्थिरीकरण
researcher. शोधार्थी
religion कौम
ancestral पुश्‍तैनी
great बहुत
belching. डकारें
journalists-litterateur पत्रकारों-साहित्यकारों
recognizing आवश्यकता,
fuzerium. फूज़ेरियम
taken लेनी
vessels थूथुनदार
parallel पैरेलल
warning इतलाह
takes अंकुरित
row. बोयें।
ox, बैंल,
committed बहुत
funny ऊटपटांग
Championship. रोमांचक
Hungary हंगरी
this.God कूदते
bless कूदते
(since (जब
flowers-fruits फूल-फल
yash टिपिकल
degree. फाड़कर
east. उ.पूर्वी
demand, उपज,
Will हमसे
listen सुनाई
invited आमंत्रित
Consequently परिणामतः
Talkies टॉकीज़
Diyaz डियाज,
variety प्रजाति
cardamom, उपज,
brings निकालने
give देने
secretary, सचिव,
types. प्रकारों
punish पनिश
dipping डुबो
dryness' 'सूखा'
giving देने
winner विजेता
Only यही
workable अंदरूनी
NMMI एनएमएमआई)
law कानून
law. कानून
brain कहेंगे,
Several बहुत
sure तुम,
2.25 2.25
haste जल्दबाजी
exciting रोमांचक
domino दूरगामी
range दूरगामी
human जनसेवा
refined. संवारी
0.15 0.15
years' निराश
vegetarians. शाकाहरी
telecommunication साधनों-
puts बहुत
service जनसेवा
putting देने
daily. अखबार।
testify तस्दीक
localization. प्रदेशीकरण
sports, पोशाक
capillary केशिका
1000 1000
second, दूसरे,
Bangchandra बंगचंद्र
time काल
serious गम्भीर
sprouted अंकुरित
sprouting अंकुरित
Anilophas एनीलोफास
tropical ऊष्णकटिबंधीय
income आय,
intelligence बुद्धि
sucks चूस
originates. चूस
immersed डुबो
Anmol सुरैया,
ghadi सुरैया,
teacher? जाएँ?
protects सूक्ष्म,
since कब
sales बिक्रीकर
Thank थैंक्यू।
period काल
manger. खिलाते
Sales बिक्रीकर
agreeable मनभावन
nourishing रेशमकीट
Alisa अलिसा
germinated अंकुरित
disease-free प्रजाति
refrigerated रेफ्रिजेरेटेड
Raspberry रसभरी
struggled अर्थाभाव
alcoholic एल्कोहलीय
Indian इंडियन
benefit हित
anticipated यही
neglected. उपेक्षित
almost तकरीबन
factory फैक्ट्री
laws कानून
fiber रेशा
factory. फैक्ट्री
when कब
handwriting लिखावट
transition संक्रमणकाला
properly भली
PPP पीपीपी
nanu's नानू
Microbial क्रमिक
feared. वही
annually पादपों
fibers रेशा
saplings. पादपों
25 25
Shiela शीला
Chandrabhan चंद्रभान
amounts. प्रचुर
transplanted, रोपनी
fresh, ताजी,
designer डिजाइनर
professionals पेशेवरों
marginal मझोले
employment, बेरोजगारी
unqualified नालायक
Probably दाव।
values मान्यताओं
monitored मूल-भूत
bazaar बड़ी-बड़ी
plenty प्रचुर
banglauri, बंगलौरी,
Marwari's मारवाड़ी
climb चढ़ाया
serious. गम्भीर
society समाज
sandy बलुआ
musk मुश्क
Khanam खानम
spoon. चम्मच
issues मुद्‍दों
Definitely हरगिज़
guide, बंदा
If इंडोनेशिया
Cancer. किरणें
ji. जी।
Maoists म्याऊं
current. प्रवाह
Sheila शीला
chilli बैगन,
Singh! जी।
machines यंत्रों
c 'सी
you? हूँ?
shade साये
detectives ऐयारी
Vihar विहार
occurs. पड़ता
morning गुडमॉर्निंग
Py पाइ'
Nadan नादान
badly बसा
1956 1956)
Sitar सितारा
high-margin मार्जिन
Indonesia इंडोनेशिया
margin मार्जिन
applications मत्स्यपालन
20-25 25
spread फैली
Pomegranate फैली
sprouted. अंकुरित
rut. पीटते
See देखो!
localities अपेसाई
Good गुडमॉर्निंग
loose बलुआ
rhizomes प्रकन्दों
mistake हमसे
bear निकल
Wow, वॉव,
cereal धान्य
Anthuriam एंथूरियम
Aunty. आन्टी!
B. बी०एस०
Excreta विष्‍टा
Formalities खानापूरी
bothered की?
grains धान्य
Azardiranchtin- उप्ताद
But परंतु
Manish मनीष
Lack यंत्रों
Bhola. भोला।
Jille-Ilahi. ज़िल्ले-इलाही
Jille-Illahi? ज़िल्ले-इलाही
origin मूल
flows प्रवाह
root मूल
business. मंगाकर
Fish मत्स्यपालन
abduct निकालने
society. समाज
origin. मूल
benevolence हित
Gella गेल्ल
22-25 25
contemporary समकालीन
basically मूल
jee. जी।
basic मूल
Yet तथापि
368 368
I, हूँ?
spread प्रसार
farmers, शोषण,
tumv सीढियों
original मूल
management प्रबन्धन
Global ग्लोबल
days? हूँ?
gardens बागानों
lal लाल,
Darsheel उपेक्षित
10-25 25
Kahshih काहशिह
filling स्वत:
skin चर्म
effective प्रभावी
much जरुरत
expansion प्रसार
marketing प्रसार
jubilee जुबली
agreed, करो।
cherry चेरी
party हटकर
programme प्रोग्राम
gardens. बागानों
laterite लैटेराइट
1974 1974)
bisexual. द्विलिंगीय
sandy. बलुआ
vegetables. सब्ज़ीयां
salient तथापि
Cherry चेरी
cherries चेरी
emerging, उभर
native मूल
need जरुरत
requirement जरुरत
Punjab, पंजाब,
cyclone चक्रवात
rewards प्रोत्साहनों
1:1,000,000. 000,000
announced. असमंजस
onwards करो।
programme. प्रोग्राम
knew जानता
know जानता
drags घसीट
surgery सर्जरी
Rigveda. ऋग्वेद
medical चिकित्सा
urban शहरी
passes निकल
infuse प्राण
ground. फैली
Medication चिकित्सा
Huver हूवर
context वृद्धिशील
Aiyya अइया
Ajeet अजीत
Chopra चोपड़ा
independent आत्मनिर्भर
violence हिंसा
violence. हिंसा
rarefaction विरलन
effective. प्रभावी
Kake, काके!
happy. खुशहाल
influential प्रभावी
sell बेचते
facet पशुशाला
League लीग
how कितनी
League, लीग
farms फार्मों
turpentine तारपीन
Mildew मिल्डयू-
high उच्चतर
what कितनी
Jassi जस्सी
kiosks किओस्क
Farmer आत्मनिर्भर
Germany. जर्मनी
farming. उच्चतर
tropical कटिबन्धीय
fiction कथा
Germany जर्मनी
essential आवश्यक
Khajanchi खजांची
necessary आवश्यक
mandatory आवश्यक
emotional इमोशनल
expansion. प्रसार
plantations बागानों
seven-eight सात-आठ
support, चढ़ते
Chopra's चोपड़ा
societies सोसाइटियों
courage. पाण्डवों
veterinary चिकित्सा
Company. 'सैरंध्री'
farms. फार्मों
stability स्थिरता
branched. शाखायुक्त
taste स्वाद
necessary. आवश्यक
pulses, दाल,
required आवश्यक
Soak भिगोयें।
excessively जरुरत
inadequate. अपर्याप्‍त
signifies उल्लास
picture पिक्चर
usefulness. जरुरत
Jassi? जस्सी
Chipsona चिपसोना
Khagadia, खगड़िया,
essential. आवश्यक
genre. काल
non-governmental गैर-सरकारी
mangoes, बागवानी-आम
medicare चिकित्सा
merchants. बेचते
after बाद
away, रोजी,
broadcasting प्रसार
city शहरी
After बाद
spend. जरुरत
Extension प्रसार
sugarcane गन्‍ना
broadcasting. प्रसार
Tamil तमिल
Plantation फार्मों
efforts प्रयास
crime अपराध
Though खैर,
beliefs. मान्यताओं
smile मुस्कराहट
terrorists आतंकवादियों
Pakhavaj पखावज
ring रिंग
row. बोए
cane गन्‍ना
Sugarcane गन्‍ना
fog कोहरा
colophony तारपीन
bio-control बॉयोकन्ट्रोल
attempts प्रयास
systems प्रणालियों
later बाद
Later बाद
Jasid जेसिड
jasid जेसिड
comes बाद
childhood. बचपन
here? किसलिए
pronouncing उच्चारण
How कितनी
childhood बचपन
washing. धुलकर
Confucius, 'कन्फ्यूसियस'
mean? मतलब?
proving अपर्याप्‍त
insufficient. अपर्याप्‍त
tried प्रयास
Mangrail मंगरैल
cumin मंगरैल
stem तनों
bigger. फार्मों
kernel गुठलियों
respective प्रयास
systems. प्रणालियों
everything. कुछ।
eucalyptus. फेंकने
monopoly एकाधिकार
countries देशों
Dev देवानंद
Anand देवानंद
21,500 21,500
Harish हरीश
telecasting. प्रसार
countries. देशों
effort प्रयास
school. नॉर्मल
techniques. तकनीको
digest. सुपाच्य
stabilizes स्थिरता
Barlagi बरलागी
practice. प्रयास
medicated उपचारित
deduced विभक्‍तिकरण
Chidambaram पी.चिदम्बरम
drawback कमजोरी
10% उपजाता
mirror प्रतिबिंब
trolley. ट्राली
difficult मुश्किल
foggy कोहरा
Ratna, रत्‍ना!
adjusted आत्मसात
cycas साइकस
cycus साइकस
ceiling हदबंदी
while. गार्डन
Ocimum. आवश्यक
teacher अध्यापक
Bengaluru) बंगलुरू)
1925. बंगलुरू)
later, सोच।
Spread प्रसार
Pande. पाण्डेय
Non-governmental गैर-सरकारी
" ""
bamboo बांस
directives दिशा-निर्देश
townships. शहरी
mind मन
disappeared? बच्ची
Muslims. हिन्दू,
stems तनों
pollination परागण
part भागो
stem. तनों
saris पहनी,
drama साले
messages. संदेश
Farms बोए
organics जैवांश
seen दिखाई
Kedarnath तेरह
laugh. हंसाने
yesterday, गैरिज
relationships रिश्तों
sand बालू
pounds मन
Krishnapaksha कृष्णपक्ष
appetite-increasing उद्यीपक
Lohiya लोहिया
energetic ऊर्जावान
salts लवणों
Alwi अलवी
Sandeep (बैकग्राउंड
Chauta (बैकग्राउंड
animal, तापमान,
lose, खिलाता
regard सम्बन्ध
poly पॉली
consensus राजनीति
cinnamonam सीनामोमम्
verum. सीनामोमम्
prevention रोकथाम
prevent रोकथाम
Changes तापमान,
return जाएँगे।
assembled पंचायतघर
panchayat पंचायतघर
trial मुकदमा
Tanreja. तनरेजा
Amplification प्रोटोकॉल
protocol प्रोटोकॉल
wrote लिखे।
presented प्रस्तुत
resides बसे
Loamy- (इसे
systems, प्रणालियों
astrologer ज्योतिषी
If पशु-घर
hygiene स्वच्छताकारक
forcefully. फेंकने
Cyclic चक्रवतीय
shown दिखाई
finished. जाएँगे।
moss 'मॉस'
synthesizing संश्‍लेषण
directors निर्माता-निर्देशकों
slips. स्लिप्स
balanced संतुलित
watch पिक्चर
sunda. सुण्डा
spray रोकथाम
insect(sunda) सुण्डा
sunda सुण्डा
consolidated समेकित
sunda(insect) सुण्डा
So, सो,
(sunda). सुण्डा
netball नेटबॉल
Vaishali बेगूसराय,
unity एकता
brother भैया
Kathiyavad कठियावाड़
1954 1954
rocky कंकरीली
Wal-Mart मार्ट
events प्रस्तुत
Prevention रोकथाम
Brother भैया
juice रस
rivers नदियों
trailor ट्रेलर
imbibing आत्मसात
1970-71 1970-71
gram ग्राम
presents प्रस्तुत
thin छितरा
healthy, होंगे,
Begusarai, बेगूसराय,
Omkara, 'ओंकारा',
efforts. प्रयास
undisputed निर्विवाद
yen-shan. उज्बेकिस्तान,त्येन
passage बीतने
selfless निस्वार्थता
politics. राजनीति
politics राजनीति
Seventh सातवीं
Dymethoet डायमेथोएट
Whatever, खैर,
slow धीमी
shape-type. आकार-प्रकार
evicted फसे
Patan उंचाई
Jetzold जेटजोल
suspect मुझपर
colour. उजला
was था
P. पी.पी.एम.
witnessed खिलाफ़
Integrated समेकित
integrated समेकित
written लिखे
woodworm. घुन
memories यादों
had था
Singapur, हांगकांग,
slow. धीमी
you था
know था
tender अल्पविकसित
So चलो
village ग्राम
government सरकारों
mentor मेंटर
buy खरीदना
linked खामी
international अंतरराष्‍ट्रीय
Akabar. खू़न
passion धुन
below. लिखे
horticultural दोबागा
1996 1996
grams ग्राम
grams. ग्राम
illiteracy. अशिक्षा
message संदेश
pulses. दाल
peas दाल
pulses दाल
million लाखों
understand. तेरी,
forefront एकाधिकार
monopoly. एकाधिकार
lakhs लाखों
him. ले।
36-40 36-40
illustrations एमं
Rawat रावत
cotton, कपास,
commutation. विनिमय
fine. जायेगी,
millions लाखों
Mangiyana मंगियाना
cousin चचेरी
lightly झेलने
omen शक्‍तियां
other. मनाते
hatred, भुला
printers प्रिंटर
Armenia आरमीनिया
Lotha लोथा
laborers श्रमिकों
labors श्रमिकों
dug. कुँओं
Nirdosh, निर्दोष,
hotel होटल
purple जामुनी
fertile. हुआ।
P.P.M पी.पी.एम.
governments सरकारों
Ravat रावत
Braj. मधुरता
efforts. प्रयत्नों
busy व्यस्त
Sangam. संगम
Transaction अंतरराष्‍ट्रीय
Enrolling कराकर,
kings, साले
fifties नियुक्त
workers श्रमिकों
bring. बोरे
Shrek श्रेक
traveler प्रतिपादक
Magrent माग्रेंट
difficulty? मुश्किल
grass-blades घास-पातें
self आत्म
governments. सरकारों
labors. श्रमिकों
Use दाल
Watson होटल
spicy तीखे
indifferent अप्रभावित
message. संदेश
Mainpuri मैनपुरी
issue. मुद्‍दे
laughing हँस
slowed. धीमी
Dumrao डुमरांव
term दीर्घावधिक
Madam, बीबी
Sarangpur. सारंगपुर
Sarangpur सारंगपुर
Kamalnath कमलनाथ
started शुरू
leaves, पत्तियों,
offence जुर्म
under अंतर्गत
bulky स्थूल
governments' सरकारों
states राज्यों-
severe. मुड़
books पुस्तकों
waste गँवाना
began शुरू
constructions प्रयत्नों
beginning शुरू
rupees) रुपये)
Sharma शर्मा
About रिजल्ट
result? रिजल्ट
issue मुद्‍दे
adulteration. कीजियेगा,
blight. बैक्टीरियल
chickpeas! सम्बन्ध
labor. श्रमिकों
singh, सिंह,
pulse दाल
came आये
Salana सालाने
healthy पुष्ट
laborers. श्रमिकों
Jaunpur जौनपुर
sixteenth फ्रेंच
establish स्थापित
Has फिल्मस्टार
earthen पशु-घर
stringent एनएफडीसी
them? लाएँगे?
preset. सुपुर्दगी
nourishment पुष्ट
your तुम्हारी
Portuguese पुर्तगाली
nations हुआ।
unity. एकता
starting शुरू
Nile नील
cctv सीसीटीवी
established स्थापित
personalities पोल
trip, चाहिए,ये
Organized श्रृंखलाएँ
Chile. चिली
path राह
doordarshan दूरदर्शन
split दाल
1976 1976
Nilgiri नीलगिरि
started. शुरू
Bloomed खिले
criticisms, निन्दा
Politics राजनीति
establishing स्थापित
Gahlot, गहलोत,
Grain जस
nursery नमीं
juice. रस
steep खासी
dietetics भोजन-शास्‍त्र
confluence संगम
Ekta एकता
(they) बोरे
established. स्थापित
sawani सावनी
Seventh सप्‍तम
today आज
Pandey पांडे!
drunk नशा
17th सत्रहवीं
Chickpea नदियों
witness खिलाफ़
moisture नमीं
epidemic भोग
vehicle निर्जमीकृत
MSP एमएसपी)
Aalamhuzoor आलमहुज़ूर
Pele. पेले,
able पायेंगे
Kashmir, कश्मीर,
writing लिखे
Center, केन्द्र,
cleanliness साफ-सफाई
remain नमीं
103 103º
Today आज
spoiled, बिगड़ती,
appeared प्रकट
still आज
commit वचनबद्ध
yield. छिड़ककर
Brother, भई!
Balki आर.
Gurudutt गुरुदत्त
Gurudutt's गुरुदत्त
Sahitya अकादमी'
wound घाव
nations शुरू
Neel नील
diseases बीमारियां
mine.It भई!
resistance रोधिता
beginning, समझाया,
survived बचा।
boiling क्वथनांक
karinkota. बालामकोट्‍टा,
best इष्‍टतम
produced पैदा
her? ओये,
separate. अलग।
Comedy. अवसान
grows पैदा
Rich 'धनी'
appear. प्रकट
insect-repelling कीटनाशी
You ओफ्फो!
convince समझाया,
Pratapgarh प्रतापगढ़
Split दाल
Kalki कल्कि
do करना
pulse. दाल
Come चलो
Nauliya. नौलिया
Novels लिखे
Khagadia, चम्पारण,
Dattaram दत्ताराम
tracks ट्रैक
R.K. आर.
Today's आज
desired इष्‍टतम
resistivity रोधिता
sand. बालुका
plant पौधा
plant. पौधा
plants पौधा
Gujarati, आदा,
Fine चलो
sprinkled. बी.एच.सी.
concentrated केन्द्रित
sultanate हुकुमत
liar, लायर,
core (Core
malnutrition. कुपोषण
heavy बारिश
damned, धिक्कार
falter आरज़ू
B.H.C बी.एच.सी.
example उदाहरण
optimum इष्‍टतम
cheese पनीर
unisexual, उभयलिंगी,
feature फ़ीचर
Peddar पेडर
exponent प्रतिपादक
philosophy. प्रतिपादक
pots घड़ों
United संयुक्त
States. संयुक्त
Gandi गंदी
gandi. गंदी
good अच्छे
rain बारिश
sambhar साम्भर
17-20 17-20
feared. हुआ।
breeds नस्लें
Ghosh, घोष,
mistake, हारेंगे,
Contract कॉन्ट्रेक्ट
Purnea महानन्दा
491 491-
knit बुनने
King. नवाव
welfare कल्याण
Tesco टेस्को
crafts, शिल्प,
rains बारिश
bends दांयी
you. आप…
Crop फसल-चक्र
liked पसन्द
Your तुम्हारी
Vande रचयिता
apart स्टिक
Identifying करना
evolved चुनौतियाँ
emerges. पैदा
assist करना
north उत्तरी
DC डीसी
staying. डीसी
free रहित
free. रहित
hate नापसंद
North उत्तरी
earlier. करती
net. जाला-सा
northern उत्तरी
only? सामने,
rhizomes. पायें।
well. अच्छे
sunlight सूर्य-प्रकाश
paneer पनीर
deciduous पर्णपाती
finance वित्त
financial वित्त
them, बीमारियां
heard सुना
children बच्चों
prince's दास्तान
collecting सम्पदाओं
high उच्‍च
Auckland 1840
oak oak
Oh ओफ्फो!
God ओफ्फो!
addicted आदी
kedar केदार'
Vikram विक्रम
Example उदाहरण
flowing. बयार
